policy_id,latitude,longitude,construction_type,sum_insured
1,-23.50551857383165,145.16467595436643,concrete_block,567111.74
2,-16.591428323081004,152.75927881729595,concrete_block,283696.32
3,-19.21607269826314,151.65954112640338,timber,375286.79
4,-20.81609818963556,146.6987128854262,timber,419817.11
5,-26.127776314690763,146.4545997376568,concrete_block,473641.99
6,-26.12806575596557,146.46723607882748,brick_veneer,671105.58
7,-27.302996653981605,147.4339379436763,timber,319804.27
8,-17.605886250700777,149.1980514530579,brick_veneer,508540.66
9,-20.786619859081494,148.45556014913691,brick_veneer,555448.74
10,-19.503129066447453,147.32983312158433,brick_veneer,227870.25
